,year,capacity,diameter,region,user,revenues,q,p,Md,M,Q0,s_j,s_jd,s_0,cpi98,p98,p98in000,p_us_oem,p_us_pcm,p_nonus_oem,p_nonus_pcm,priceIV1,priceIV2,priceIV3,capaMB,lncapaMB,lnsjs0,lnsjd,_3inch,_NonUS,_PCM,diameter_capacity,FirstYearOfDiameterCapacity,NofYearsInMktOfDiameterCapacity,year_diameter,FrontierCapacityOfDiameter,NofFirmsInDiameterCapacity,NofProductsInDiameter,NofFirmsInDiameter,FirstYearOfDiameter,NofYearsInMktOfDiameter
456,1996,10.0,5.25,US,PCM,0.4000000059604645,2.0,0.2,1749.5,31090.300048828125,929.0,6.432874e-05,0.0011431838,0.029880702,0.9625767,0.20777565,0.00020777565,0.20777565,0.20777565,,,0.20777565,,,4000.0,8.294049,-6.1409616,-6.773938,0.0,0.0,1.0,5.25_10,1993,4.0,1996_5.25,12,2.0,15.0,7.0,1979.0,18.0
457,1996,8.0,5.25,US,OEM,234.5,1562.699951171875,0.1500608,2864.199951171875,43626.100341796875,55.0,0.035820298,0.5455974,0.0012607132,0.9625767,0.1558949,0.0001558949,0.1558949,0.15594019,1.4972068,,1.4972068,0.15594019,,1500.0,7.3132205,3.346837,-0.605874,0.0,0.0,0.0,5.25_8,1989,8.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
458,1996,11.0,5.25,Non-US,PCM,25.0,16.200000762939453,1.5432098,16.200000762939453,4027.2000675201416,57.0,0.004022646,1.0,0.014153754,0.9625767,1.6032071,0.0016032071,1.3975284,1.398157,1.4417087,1.6032071,1.3975284,1.398157,1.4417087,7500.0,8.922658,-1.25804,0.0,0.0,1.0,1.0,5.25_11,1995,2.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
459,1997,7.0,3.5,US,PCM,27.0,245.0,0.11020408,31866.0,33743.59999847412,1024.599998474121,0.007260636,0.0076884455,0.030364277,0.9846626,0.11192065,0.00011192065,0.11234813,0.11192065,0.11916702,,0.11916702,0.11234813,,750.0,6.6200733,-1.4307994,-4.8680367,1.0,0.0,1.0,3.5_7,1990,8.0,1997_3.5,12,1.0,41.0,12.0,1983.0,15.0
460,1997,7.0,3.5,Non-US,OEM,15.699999809265137,133.8000030517578,0.117339306,17310.000259399414,17313.800259411335,0.0,0.0077279396,0.007729636,0.0,0.9846626,0.11916702,0.00011916702,0.11234813,0.11192065,0.11916702,,0.11192065,0.11234813,,750.0,6.6200733,,-4.8626933,1.0,1.0,0.0,3.5_7,1990,8.0,1997_3.5,12,1.0,41.0,12.0,1983.0,15.0
461,1997,9.0,3.5,Non-US,PCM,421.70001220703125,2896.0,0.14561464,6896.700012207031,6896.700012207031,47.0,0.41991097,0.41991097,0.0068148533,0.9846626,0.14788277,0.00014788278,0.18890229,0.17485389,0.15245584,0.14788277,0.18890229,0.17485389,0.15245584,2500.0,7.824046,4.1209383,-0.86771256,1.0,1.0,1.0,3.5_9,1993,5.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
462,1997,10.0,3.5,Non-US,OEM,733.0999755859375,3746.300048828125,0.1956864,17310.000259399414,17313.800259411335,0.0,0.21637653,0.21642403,0.0,0.9846626,0.19873448,0.00019873447,0.30490094,0.25599265,0.19873448,0.19101338,0.25599265,0.30490094,0.19101338,4000.0,8.294049,,-1.5305157,1.0,1.0,0.0,3.5_10,1994,4.0,1997_3.5,12,10.0,41.0,12.0,1983.0,15.0
463,1997,8.0,3.5,Non-US,PCM,333.79998779296875,2455.0,0.1359674,6896.700012207031,6896.700012207031,47.0,0.35596734,0.35596734,0.0068148533,0.9846626,0.13808528,0.00013808528,0.14326634,0.1382002,0.13586718,0.13808528,0.14326634,0.1382002,0.13586718,1500.0,7.3132205,3.9557345,-1.0329163,1.0,1.0,1.0,3.5_8,1991,7.0,1997_3.5,12,6.0,41.0,12.0,1983.0,15.0
464,1997,11.0,3.5,Non-US,OEM,363.29998779296875,807.7000122070312,0.4497957,17310.000259399414,17313.800259411335,0.0,0.046650648,0.04666089,0.0,0.9846626,0.45680186,0.00045680185,0.6604952,0.49390227,0.45680186,0.45693773,0.49390227,0.6604952,0.45693773,7500.0,8.922658,,-3.064849,1.0,1.0,0.0,3.5_11,1995,3.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
465,1997,9.0,3.5,US,PCM,2041.0999755859375,11855.0,0.17217208,31866.0,33743.59999847412,1024.599998474121,0.35132587,0.37202662,0.030364277,0.9846626,0.17485389,0.00017485389,0.18890229,0.17485389,0.15245584,0.14788277,0.15245584,0.14788277,0.18890229,2500.0,7.824046,2.4484475,-0.98878986,1.0,0.0,1.0,3.5_9,1993,5.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
466,1997,11.0,3.5,Non-US,PCM,255.1999969482422,567.2000122070312,0.44992948,6896.700012207031,6896.700012207031,47.0,0.082242236,0.082242236,0.0068148533,0.9846626,0.45693773,0.00045693773,0.6604952,0.49390227,0.45680186,0.45693773,0.6604952,0.49390227,0.45680186,7500.0,8.922658,2.4905643,-2.4980862,1.0,1.0,1.0,3.5_11,1995,3.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
467,1997,8.0,3.5,US,OEM,1760.4000244140625,12479.0,0.141069,48506.0,52252.60000038147,167.60000038146973,0.23882066,0.25726715,0.003207496,0.9846626,0.14326634,0.00014326634,0.14326634,0.1382002,0.13586718,0.13808528,0.13808528,0.13586718,0.1382002,1500.0,7.3132205,4.310222,-1.3576403,1.0,0.0,0.0,3.5_8,1991,7.0,1997_3.5,12,6.0,41.0,12.0,1983.0,15.0
